"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"lambda_1",0.835209003810092,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_2",1.05584765754283,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_3",0.876475190348888,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_4",1.16724101461106,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_5",0.823403319109195,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_6",1.27914466127582,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_7",0.989393359520575,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_8",1.15617432784307,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_9",0.92381674056157,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_10",1.20426401041036,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_11",0.948919344532572,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_12",1.23426068461362,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_13",1.00742246422908,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_14",1.16996913800595,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_15",0.867506705328471,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_16",1.03775318202097,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_17",1.23890783671044,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_18",1.06065552558798,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_1",0.10262928,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_2",0.14863912,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_3",0.24889527,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_4",0.50936521,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_5",0.1852587,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_6",0.1940305,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_7",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_8",0.5373298,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_9",0.4170812,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_10",0.439084,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_11",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_12",0.7960975,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_13",0.3886648,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_14",0.11936357,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_15",0.1777495,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_16",0.230179,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_17",0.4416387,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_18",0.18886835,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_1",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_2",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_3",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_4",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_5",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_6",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_7",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_8",0.1074182,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_9",0.1024044,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_10",0.1041594,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_11",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_12",0.1069374,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_13",0.1010617,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_14",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_15",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_16",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_17",0.1023555,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_18",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_11",0.919910918925958,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_21",0.53153868691055,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_12",0.429670713989224,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_22",1.05427487921722,NA,NA,NA,NA,NA,0,0,"block",200
"sigma_ou_11",1.19223232952533,NA,NA,NA,NA,NA,0,0,"block",200
"sigma_ou_22",1.26132828852912,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_1",0.806761977133551,0.124708528788343,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_2",1.02462638306851,-0.0218284376782771,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_3",0.85454248626515,-0.0122112169086064,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_4",1.14264761937002,-0.00924964366558245,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_5",0.800435635142086,-0.0172775541202185,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_6",1.24445689565299,-0.0267383122983751,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_7",0.955025124612707,-0.0332617783282723,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
"lambda_8",1.13153117472776,0.0133871130968179,-16143.4019107929,42,1,499.727481603622,1,0,"block",200
